Componente exigido,Presente en PGD,Seccion e indicador,Calidad,Observacion
1. Introduccion y marco normativo,Sí,Sección 1 - Pág 2,Completo,Cita de forma correcta la Ley 1412 y normas del HEJCU.
2. Situacion actual,Sí,Sección 2 - Pág 8,Parcial,El análisis FODA de TI carece de métricas técnicas del hospital.
3. Alineamiento estrategico,Sí,Sección 3 - Pág 14,Declarativo,Menciona los OEI generales pero no detalla el impacto en salud.
4. Objetivos de gobierno digital,Sí,Sección 4 - Pág 19,Completo,Define los OGD específicos para atención de emergencias.
5. Portafolio de proyectos,Sí,Sección 5 - Pág 25,Completo,Lista proyectos prioritarios vinculados a la PCM.
6. Gestion de riesgos,No,N/A,Declarativo,Solo enumera riesgos generales sin matriz técnica de soporte.
7. Cronograma e implementacion,Sí,Sección 7 - Pág 32,Parcial,Afectado en la ejecución real por aprobación extemporánea.
8. Supervision y evaluacion,No,N/A,Declarativo,No describe una estrategia o frecuencia de monitoreo continuo.
9. Anexos,Sí,Anexo A - Pág 40,Completo,Presenta tablas de requerimientos informáticos básicos.
Lider de Gobierno Digital,Sí,Pág 3,Completo,Designado formalmente mediante la resolución interna.
Comite de Gobierno Digital,Sí,Pág 3,Completo,Muestra el acta formalizada y las firmas del comité directivo.
Periodo minimo de 3 anos,Sí,Portada,Completo,Horizonte temporal de mediano plazo definido (2025-2028).
Actualizacion anual,No,N/A,Declarativo,No existe historial de revisiones anuales publicadas.
